Date	Province_CN	City_CN	From_Province	From_City	To_Province	To_City	Index
2020-01-06	广东省	深圳市	Guangdong	Shenzhen	Hubei	Wuhan	1.29
2020-01-06	湖北省	天门市	Hubei	Tianmen	Hubei	Wuhan	1.14
2020-01-06	湖北省	恩施土家族苗族自治州	Hubeisheng	Enshitujiazumiaozuzizhizhou	Hubei	Wuhan	1.12
2020-01-06	湖北省	潜江市	Hubei	Qianjiang	Hubei	Wuhan	1.07
2020-01-06	河南省	郑州市	Henan	Zhengzhou	Hubei	Wuhan	0.99
2020-01-06	重庆市	重庆市	Chongqing	Chongqing	Hubei	Wuhan	0.84
2020-01-06	浙江省	杭州市	Zhejiang	Hangzhou	Hubei	Wuhan	0.73
2020-01-06	四川省	成都市	Sichuan	Chengdu	Hubei	Wuhan	0.69
2020-01-06	安徽省	合肥市	Anhui	Hefei	Hubei	Wuhan	0.69
2020-01-06	江西省	南昌市	Jiangxi	Nanchang	Hubei	Wuhan	0.63
2020-01-06	江苏省	苏州市	Jiangsu	Suzhou	Hubei	Wuhan	0.62
2020-01-06	江苏省	南京市	Jiangsu	Nanjing	Hubei	Wuhan	0.62
2020-01-06	湖南省	岳阳市	Hunan	Yueyang	Hubei	Wuhan	0.57
2020-01-06	江西省	九江市	Jiangxi	Jiujiang	Hubei	Wuhan	0.55
2020-01-06	陕西省	西安市	Shaanxi	Xi'an	Hubei	Wuhan	0.53
2020-01-06	广东省	东莞市	Guangdong	Dongguan	Hubei	Wuhan	0.46
2020-01-06	天津市	天津市	Tianjin	Tianjin	Hubei	Wuhan	0.42
2020-01-06	河南省	驻马店市	Henan	Zhumadian	Hubei	Wuhan	0.41
2020-01-06	河南省	南阳市	Henan	Nanyang	Hubei	Wuhan	0.39
2020-01-06	浙江省	宁波市	Zhejiang	Ningbo	Hubei	Wuhan	0.38
2020-01-06	广东省	佛山市	Guangdong	Foshan	Hubei	Wuhan	0.36
2020-01-06	浙江省	温州市	Zhejiang	Wenzhou	Hubei	Wuhan	0.35
2020-01-06	福建省	厦门市	Fujian	Xiamen	Hubei	Wuhan	0.34
2020-01-06	江苏省	无锡市	Jiangsu	Wuxi	Hubei	Wuhan	0.31
2020-01-06	山东省	青岛市	Shandong	Qingdao	Hubei	Wuhan	0.28
2020-01-06	云南省	昆明市	Yunnan	Kunming	Hubei	Wuhan	0.26
2020-01-06	福建省	福州市	Fujian	Fuzhou	Hubei	Wuhan	0.25
2020-01-06	河北省	石家庄市	Hebei	Shijiazhuang	Hubei	Wuhan	0.23
2020-01-06	山东省	济南市	Shandong	Jinan	Hubei	Wuhan	0.21
2020-01-06	江苏省	常州市	Jiangsu	Changzhou	Hubei	Wuhan	0.21
2020-01-06	安徽省	阜阳市	Anhui	Fuyang	Hubei	Wuhan	0.21
2020-01-06	湖南省	株洲市	Hunan	Zhuzhou	Hubei	Wuhan	0.21
2020-01-06	安徽省	安庆市	Anhui	Anqing	Hubei	Wuhan	0.2
2020-01-06	广西壮族自治区	南宁市	Guangxi	Nanning	Hubei	Wuhan	0.19
2020-01-06	浙江省	金华市	Zhejiang	Jinhua	Hubei	Wuhan	0.19
2020-01-06	浙江省	嘉兴市	Zhejiang	Jiaxing	Hubei	Wuhan	0.18
2020-01-06	广东省	惠州市	Guangdong	Huizhou	Hubei	Wuhan	0.17
2020-01-06	贵州省	贵阳市	Guizhou	Guiyang	Hubei	Wuhan	0.17
2020-01-06	吉林省	长春市	Jilin	Changchun	Hubei	Wuhan	0.17
2020-01-06	福建省	泉州市	Fujian	Quanzhou	Hubei	Wuhan	0.17
2020-01-06	海南省	三亚市	Hainan	Sanya	Hubei	Wuhan	0.17
2020-01-06	安徽省	六安市	Anhui	Lu'an	Hubei	Wuhan	0.17
2020-01-06	湖南省	衡阳市	Hunan	Hengyang	Hubei	Wuhan	0.17
2020-01-06	河南省	周口市	Henan	Zhoukou	Hubei	Wuhan	0.17
2020-01-06	黑龙江省	哈尔滨市	Heilongjiang	Harbin	Hubei	Wuhan	0.17
2020-01-06	辽宁省	大连市	Liaoning	Dalian	Hubei	Wuhan	0.17
2020-01-06	浙江省	台州市	Zhejiang	Taizhou	Hubei	Wuhan	0.17
2020-01-06	江苏省	徐州市	Jiangsu	Xuzhou	Hubei	Wuhan	0.16
2020-01-06	河北省	保定市	Hebei	Baoding	Hubei	Wuhan	0.16
2020-01-06	海南省	海口市	Hainan	Haikou	Hubei	Wuhan	0.16
2020-01-06	湖南省	常德市	Hunan	Changde	Hubei	Wuhan	0.16
2020-01-06	辽宁省	沈阳市	Liaoning	Shenyang	Hubei	Wuhan	0.16
2020-01-06	江苏省	南通市	Jiangsu	Nantong	Hubei	Wuhan	0.16
2020-01-06	河南省	漯河市	Henan	Luohe	Hubei	Wuhan	0.15
2020-01-06	广西壮族自治区	桂林市	Guangxi	Guilin	Hubei	Wuhan	0.14
2020-01-06	浙江省	绍兴市	Zhejiang	Shaoxing	Hubei	Wuhan	0.14
2020-01-06	河南省	新乡市	Henan	Xinxiang	Hubei	Wuhan	0.14
2020-01-06	河南省	洛阳市	Henan	Luoyang	Hubei	Wuhan	0.14
2020-01-06	广东省	中山市	Guangdong	Zhongshan	Hubei	Wuhan	0.14
2020-01-06	江西省	赣州市	Jiangxi	Ganzhou	Hubei	Wuhan	0.14
2020-01-06	广东省	珠海市	Guangdong	Zhuhai	Hubei	Wuhan	0.13
2020-01-06	江西省	宜春市	Jiangxi	Yichun	Hubei	Wuhan	0.13
2020-01-06	湖南省	湘潭市	Hunan	Xiangtan	Hubei	Wuhan	0.12
2020-01-06	河南省	许昌市	Henan	Xuchang	Hubei	Wuhan	0.12
2020-01-06	山东省	临沂市	Shandong	Linyi	Hubei	Wuhan	0.12
2020-01-06	河北省	邯郸市	Hebei	Handan	Hubei	Wuhan	0.12
2020-01-06	江苏省	镇江市	Jiangsu	Zhenjiang	Hubei	Wuhan	0.12
2020-01-06	安徽省	芜湖市	Anhui	Wuhu	Hubei	Wuhan	0.11
