Date	Province_CN	City_CN	From_Province	From_City	To_Province	To_City	Index
2020-01-05	湖南省	娄底市	Hubei	Wuhan	Hunan	Loudi	0.1
2020-01-05	吉林省	长春市	Hubei	Wuhan	Jilin	Changchun	0.1
2020-01-05	浙江省	绍兴市	Hubei	Wuhan	Zhejiang	Shaoxing	0.09
2020-01-06	湖北省	孝感市	Hubei	Wuhan	Hubei	Xiaogan	11.04
2020-01-06	湖北省	黄冈市	Hubei	Wuhan	Hubei	Huanggang	10.92
2020-01-06	湖北省	荆州市	Hubei	Wuhan	Hubei	Jingzhou	5.52
2020-01-06	湖北省	鄂州市	Hubei	Wuhan	Hubei	Ezhou	5.23
2020-01-06	湖北省	咸宁市	Hubei	Wuhan	Hubei	Xianning	5.06
2020-01-06	湖北省	襄阳市	Hubei	Wuhan	Hubei	Xiangyang	4.04
2020-01-06	湖北省	黄石市	Hubei	Wuhan	Hubei	Huangshi	3.71
2020-01-06	湖北省	宜昌市	Hubei	Wuhan	Hubei	Yichang	2.75
2020-01-06	湖北省	荆门市	Hubei	Wuhan	Hubei	Jingmen	2.63
2020-01-06	湖北省	随州市	Hubei	Wuhan	Hubei	Suizhou	2.55
2020-01-06	湖北省	仙桃市	Hubei	Wuhan	Hubei	Xiantao	2.3
2020-01-06	北京市	北京市	Hubei	Wuhan	Beijing	Beijing	2.11
2020-01-06	湖北省	十堰市	Hubei	Wuhan	Hubei	Shiyan	1.98
2020-01-06	湖北省	恩施土家族苗族自治州	Hubei	Wuhan	Hubeisheng	Enshitujiazumiaozuzizhizhou	1.94
2020-01-06	湖南省	长沙市	Hubei	Wuhan	Hunan	Changsha	1.62
2020-01-06	湖北省	天门市	Hubei	Wuhan	Hubei	Tianmen	1.43
2020-01-06	上海市	上海市	Hubei	Wuhan	Shanghai	Shanghai	1.33
2020-01-06	重庆市	重庆市	Hubei	Wuhan	Chongqing	Chongqing	1.23
2020-01-06	湖北省	潜江市	Hubei	Wuhan	Hubei	Qianjiang	1.07
2020-01-06	河南省	信阳市	Hubei	Wuhan	Henan	Xinyang	1.02
2020-01-06	广东省	广州市	Hubei	Wuhan	Guangdong	Guangzhou	0.93
2020-01-06	河南省	郑州市	Hubei	Wuhan	Henan	Zhengzhou	0.92
2020-01-06	广东省	深圳市	Hubei	Wuhan	Guangdong	Shenzhen	0.89
2020-01-06	四川省	成都市	Hubei	Wuhan	Sichuan	Chengdu	0.69
2020-01-06	江西省	南昌市	Hubei	Wuhan	Jiangxi	Nanchang	0.68
2020-01-06	安徽省	合肥市	Hubei	Wuhan	Anhui	Hefei	0.64
2020-01-06	江苏省	南京市	Hubei	Wuhan	Jiangsu	Nanjing	0.62
2020-01-06	陕西省	西安市	Hubei	Wuhan	Shaanxi	Xi'an	0.54
2020-01-06	浙江省	杭州市	Hubei	Wuhan	Zhejiang	Hangzhou	0.54
2020-01-06	河南省	驻马店市	Hubei	Wuhan	Henan	Zhumadian	0.52
2020-01-06	江西省	九江市	Hubei	Wuhan	Jiangxi	Jiujiang	0.49
2020-01-06	河南省	南阳市	Hubei	Wuhan	Henan	Nanyang	0.49
2020-01-06	湖南省	岳阳市	Hubei	Wuhan	Hunan	Yueyang	0.48
2020-01-06	江苏省	苏州市	Hubei	Wuhan	Jiangsu	Suzhou	0.4
2020-01-06	云南省	昆明市	Hubei	Wuhan	Yunnan	Kunming	0.4
2020-01-06	贵州省	贵阳市	Hubei	Wuhan	Guizhou	Guiyang	0.34
2020-01-06	安徽省	安庆市	Hubei	Wuhan	Anhui	Anqing	0.31
2020-01-06	天津市	天津市	Hubei	Wuhan	Tianjin	Tianjin	0.31
2020-01-06	河南省	周口市	Hubei	Wuhan	Henan	Zhoukou	0.29
2020-01-06	安徽省	阜阳市	Hubei	Wuhan	Anhui	Fuyang	0.28
2020-01-06	广西壮族自治区	南宁市	Hubei	Wuhan	Guangxi	Nanning	0.25
2020-01-06	广东省	东莞市	Hubei	Wuhan	Guangdong	Dongguan	0.24
2020-01-06	江苏省	无锡市	Hubei	Wuhan	Jiangsu	Wuxi	0.24
2020-01-06	河南省	商丘市	Hubei	Wuhan	Henan	Shangqiu	0.24
2020-01-06	福建省	厦门市	Hubei	Wuhan	Fujian	Xiamen	0.23
2020-01-06	广东省	佛山市	Hubei	Wuhan	Guangdong	Foshan	0.23
2020-01-06	福建省	福州市	Hubei	Wuhan	Fujian	Fuzhou	0.22
2020-01-06	浙江省	宁波市	Hubei	Wuhan	Zhejiang	Ningbo	0.22
2020-01-06	湖南省	株洲市	Hubei	Wuhan	Hunan	Zhuzhou	0.22
2020-01-06	海南省	海口市	Hubei	Wuhan	Hainan	Haikou	0.21
2020-01-06	山东省	济南市	Hubei	Wuhan	Shandong	Jinan	0.21
2020-01-06	安徽省	六安市	Hubei	Wuhan	Anhui	Lu'an	0.21
2020-01-06	河北省	石家庄市	Hubei	Wuhan	Hebei	Shijiazhuang	0.21
2020-01-06	山东省	青岛市	Hubei	Wuhan	Shandong	Qingdao	0.21
2020-01-06	河南省	洛阳市	Hubei	Wuhan	Henan	Luoyang	0.2
2020-01-06	湖南省	常德市	Hubei	Wuhan	Hunan	Changde	0.2
2020-01-06	山西省	太原市	Hubei	Wuhan	Shanxi	Taiyuan	0.19
2020-01-06	浙江省	温州市	Hubei	Wuhan	Zhejiang	Wenzhou	0.19
2020-01-06	甘肃省	兰州市	Hubei	Wuhan	Gansu	Lanzhou	0.18
2020-01-06	江西省	宜春市	Hubei	Wuhan	Jiangxi	Yichun	0.18
2020-01-06	湖南省	衡阳市	Hubei	Wuhan	Hunan	Hengyang	0.18
2020-01-06	黑龙江省	哈尔滨市	Hubei	Wuhan	Heilongjiang	Harbin	0.18
2020-01-06	浙江省	金华市	Hubei	Wuhan	Zhejiang	Jinhua	0.17
2020-01-06	广东省	珠海市	Hubei	Wuhan	Guangdong	Zhuhai	0.16
2020-01-06	江西省	赣州市	Hubei	Wuhan	Jiangxi	Ganzhou	0.16
2020-01-06	江西省	上饶市	Hubei	Wuhan	Jiangxi	Shangrao	0.16
2020-01-06	江苏省	徐州市	Hubei	Wuhan	Jiangsu	Xuzhou	0.16
2020-01-06	贵州省	遵义市	Hubei	Wuhan	Guizhou	Zunyi	0.16
2020-01-06	河北省	邯郸市	Hubei	Wuhan	Hebei	Handan	0.16
2020-01-06	海南省	三亚市	Hubei	Wuhan	Hainan	Sanya	0.15
2020-01-06	福建省	泉州市	Hubei	Wuhan	Fujian	Quanzhou	0.15
2020-01-06	河南省	平顶山市	Hubei	Wuhan	Henan	Pingdingshan	0.15
2020-01-06	新疆维吾尔自治区	乌鲁木齐市	Hubei	Wuhan	Xinjiang	Ürümqi	0.15
2020-01-06	河南省	许昌市	Hubei	Wuhan	Henan	Xuchang	0.15
2020-01-06	河南省	新乡市	Hubei	Wuhan	Henan	Xinxiang	0.15
2020-01-06	辽宁省	沈阳市	Hubei	Wuhan	Liaoning	Shenyang	0.15
2020-01-06	浙江省	嘉兴市	Hubei	Wuhan	Zhejiang	Jiaxing	0.15
2020-01-06	江苏省	南通市	Hubei	Wuhan	Jiangsu	Nantong	0.15
2020-01-06	河南省	漯河市	Hubei	Wuhan	Henan	Luohe	0.14
2020-01-06	河南省	安阳市	Hubei	Wuhan	Henan	Anyang	0.14
2020-01-06	辽宁省	大连市	Hubei	Wuhan	Liaoning	Dalian	0.14
2020-01-06	湖南省	益阳市	Hubei	Wuhan	Hunan	Yiyang	0.14
2020-01-06	广西壮族自治区	桂林市	Hubei	Wuhan	Guangxi	Guilin	0.14
2020-01-06	河北省	保定市	Hubei	Wuhan	Hebei	Baoding	0.14
2020-01-06	安徽省	芜湖市	Hubei	Wuhan	Anhui	Wuhu	0.13
2020-01-06	湖南省	湘潭市	Hubei	Wuhan	Hunan	Xiangtan	0.13
2020-01-06	浙江省	绍兴市	Hubei	Wuhan	Zhejiang	Shaoxing	0.12
2020-01-06	浙江省	台州市	Hubei	Wuhan	Zhejiang	Taizhou	0.12
2020-01-06	江苏省	常州市	Hubei	Wuhan	Jiangsu	Changzhou	0.12
